Date,Time,Feed Volume (L),Flush Volume (L),Reject Conductivity (mS/cm),Permeate Conductivity (uS/cm),Feed Conductivity (mS/cm),Reject Flow (L/min),Feed Flow (L/min),Reject Turbidity (NTU),Feed Pressure (psi),Reject Pressure (psi),Permeate Flow (L/min),Feed Temperature (C),Flux (LMH),TDS (mg/L),Specific Energy (kWh/m^3),Feed Pump Power Draw (kW),Recirculation Pump Power Draw (kW),Runtime (hr),Feed Pump Set Flux (LMH),Feed Pump Power (%),Recirculation Pump Set Flow (L/min),Recirculation Pump Power (%),Feed Pump PID State,Recirculation Pump PID State,Drain Valve Position,Exp_type,Exp_state,JHP_PID,QCP_PID,TMP_Critical,Conductivity_Critical,PWR1_HP,A_PWR_HP,W_PWR_HP,PWR1_CP,A_PWR_CP,W_PWR_CP,J0_HP,J1_HP,A_JHP,W_JHP,Q0_CP,Q1_CP,A_QCP,W_QCP,Max Cycle No.,Set Initialization Time (s),Set CC Reject Flowrate (L/min),Set PF Feed Flowrate (L/min),Set CC Flux (LMH),Set PF Flux [%CC] (%),Set High Rej. Turb. (NTU),Set High Rej. Cond. (mS/cm),Set Low Rej. Cond. (mS/cm),Set FP Switch Power (%),Set CC BPV Open (%),Set Rej. Cond. High Limit (mS/cm),Set Rej. Cond. Low Limit (mS/cm),Cond. Critical Override,STATE
8/12/2021,11:10:37 PM,614.730694,91.699141,15.010200,541.410453,11.664200,44.912276,1.292234,33.159243,211.467601,0.000000,1.518977,20.937517,12.658140,270.705227,13.071123,0.667388,0.523895,3.946109,2.067000,65.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.780000,0.000000,0.000000,0.000000,51.260000,0.000000,0.000000,0.000000,0.000000,30.000000,51.260000,2.700000,13.780000,2.067000,200.000000,15.000000,3.500000,65.000000,20.000000,26.000000,5.000000,LOW LIMIT,Discharge P1
8/12/2021,11:10:38 PM,614.929279,91.711363,15.010200,541.510883,11.651682,45.630151,1.294703,33.208474,211.496202,0.000000,1.521841,20.915943,12.682012,270.755441,13.004945,0.668762,0.518726,3.946180,2.067000,65.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.780000,0.000000,0.000000,0.000000,51.260000,0.000000,0.000000,0.000000,0.000000,30.000000,51.260000,2.700000,13.780000,2.067000,200.000000,15.000000,3.500000,65.000000,20.000000,26.000000,5.000000,LOW LIMIT,Discharge P1
8/12/2021,11:10:38 PM,615.079992,91.662477,15.010200,541.876789,11.664200,45.752503,1.290762,33.276166,211.750594,0.000000,1.520257,20.928887,12.668809,270.938395,14.708324,0.901536,0.440090,3.946316,2.067000,65.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.780000,0.000000,0.000000,0.000000,51.260000,0.000000,0.000000,0.000000,0.000000,30.000000,51.260000,2.700000,13.780000,2.067000,200.000000,15.000000,3.500000,65.000000,20.000000,26.000000,5.000000,LOW LIMIT,Discharge P1
8/12/2021,11:10:38 PM,614.849673,91.739879,15.010200,541.966896,11.668373,46.045719,1.293801,33.128474,211.432384,0.000000,1.492878,20.915943,12.440650,270.983448,13.426775,0.799606,0.403066,3.946392,2.067000,65.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.780000,0.000000,0.000000,0.000000,51.260000,0.000000,0.000000,0.000000,0.000000,30.000000,51.260000,2.700000,13.780000,2.067000,200.000000,15.000000,3.500000,65.000000,20.000000,26.000000,5.000000,LOW LIMIT,Discharge P1
8/12/2021,11:10:39 PM,614.457609,91.853945,14.998991,541.887442,11.672545,46.045719,1.297508,33.122320,211.734822,0.000000,1.460734,20.933202,12.172782,270.943721,13.116596,0.811075,0.338516,3.946528,2.067000,65.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.780000,0.000000,0.000000,0.000000,51.260000,0.000000,0.000000,0.000000,0.000000,30.000000,51.260000,2.700000,13.780000,2.067000,200.000000,15.000000,3.500000,65.000000,20.000000,26.000000,5.000000,LOW LIMIT,Discharge P1
8/12/2021,11:10:39 PM,614.397620,91.919125,15.010200,541.968080,11.680890,46.045719,1.301960,33.177704,211.897754,0.000000,1.480038,20.928887,12.333650,270.984040,12.465648,0.824806,0.282172,3.946667,2.067000,65.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.780000,0.000000,0.000000,0.000000,51.260000,0.000000,0.000000,0.000000,0.000000,30.000000,51.260000,2.700000,13.780000,2.067000,200.000000,15.000000,3.500000,65.000000,20.000000,26.000000,5.000000,LOW LIMIT,Discharge P1
8/12/2021,11:10:40 PM,614.557590,91.629887,14.997462,541.894161,11.668373,46.045719,1.295814,33.337704,211.619021,0.000000,1.446387,20.920258,12.053225,270.947081,12.364406,0.834983,0.238040,3.946804,2.067000,65.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.780000,0.000000,0.000000,0.000000,51.260000,0.000000,0.000000,0.000000,0.000000,30.000000,51.260000,2.700000,13.780000,2.067000,200.000000,15.000000,3.500000,65.000000,20.000000,26.000000,5.000000,LOW LIMIT,Discharge P1
8/12/2021,11:10:40 PM,613.985197,91.764322,14.996080,541.564888,11.672545,45.450760,1.477339,33.239243,217.701468,0.000000,1.771575,20.902998,14.763129,270.782444,9.980528,0.840475,0.220401,3.946872,2.067000,65.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.780000,0.000000,0.000000,0.000000,51.260000,0.000000,0.000000,0.000000,0.000000,30.000000,51.260000,2.700000,13.780000,2.067000,200.000000,15.000000,3.500000,65.000000,20.000000,26.000000,5.000000,LOW LIMIT,Discharge P1
8/12/2021,11:10:40 PM,613.990335,91.760248,14.975695,542.212683,11.680890,34.644688,2.126930,33.171551,246.411094,0.000000,2.138317,20.954777,17.819308,271.106342,8.149162,0.841929,0.203601,3.946941,2.067000,65.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.780000,0.000000,0.000000,0.000000,51.260000,0.000000,0.000000,0.000000,0.000000,30.000000,51.260000,2.700000,13.780000,2.067000,200.000000,15.000000,3.500000,65.000000,20.000000,26.000000,5.000000,LOW LIMIT,Discharge P1
8/12/2021,11:10:41 PM,613.764450,91.658404,14.952437,541.953256,11.676718,31.169040,2.126930,33.276166,252.460187,0.000000,2.138317,20.898683,17.819308,270.976628,8.057502,0.844190,0.189579,3.947012,2.067000,65.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.780000,0.000000,0.000000,0.000000,51.260000,0.000000,0.000000,0.000000,0.000000,30.000000,51.260000,2.700000,13.780000,2.067000,200.000000,15.000000,3.500000,65.000000,20.000000,26.000000,5.000000,LOW LIMIT,Discharge P1
